id,year,sector,pin,f_pin,m_pin,pie_1,pie_2,col_1,col_2,col_3,col_4,key_message
23,hno_2018,erl,9.8,5,4.8,51,49,1.1,2.9,5.3,0.5,Over 50 per cent of basic infrastructure in Syria is now either destroyed or rendered non-operational
24,hno_2018,education,6.1,3.1,3,51,49,5.8,0.3,,,"More than one in three schools are either damaged or destroyed, while others are being used as collective shelters"
25,hno_2018,fs,10.5,5.3,5.2,50.5,49.5,1.2,3.2,5.6,0.5,"As per current estimates, 6.5 million people in Syria are food insecure, while a further 4 million people are at risk of becoming acutely food insecure. In total this constitutes over half of the Syrian population who are in need of urgent life-saving and life-sustaining food, agriculture and livelihoods assistance"
26,hno_2018,health,11.3,5.8,5.5,51,49,1.3,3.4,6.1,0.5,Health service delivery has been critically undermined by approximately 107 attacks on health workers and facilities during the first half of 2017 (72 verified and 35 in the process of verification) and 155 verified attack (out of 377 reported) during 2016
27,hno_2018,nutrition,4.6,,,,,3,1.6,,,"Women and children living in UN-declared besieged and hard-to-reach areas, overburdened communities, areas deprived of basic social services and displaced persons, are in urgent need of nutrition interventions and should be prioritized to ensure that their nutritional status remains stable and improves"
28,hno_2018,shelter,4.2,2.1,2.1,50,50,0.5,1.2,2.3,0.2,"There remains a significant population living in a protracted situation of displacement , whose shelters are often inadequate and below standard"
29,hno_2018,nfi,4.7,2.4,2.3,51,49,0.5,1.3,2.6,0.3,"Economic pressures are key drivers of need, with large population groups stating that the most widespread challenges are an inability to afford rent and non-food items"
30,hno_2018,wash,14.6,7.4,7.2,51,49,1.6,4.4,7.9,0.7,"Access to safe water remains limited for much of the population, with increased water quality assurances necessary to ensure the population has continuous access to safe water"
31,pmr_2017,protection,13.6,7.1,6.5,52,48,5.8,2.7,5,0.8,"Hostilities have generated growing concerns for the protection of civilians with new and variable patterns of displacement towards both government and contested areas (e.g. Ar-Raqqa; Dar'a and East Ghouta), increasing protection needs in these areas"
32,pmr_2017,cccm,6.3,3.3,3,52,48,2.7,1.3,2.3,0.4,"In terms of the situation faced by CCCM humanitarian actors, between January and June 23, cluster members reported 636,966 displacements, including 246,440 new arrivals in Aleppo and 177,919 in Idleb governorates"
33,pmr_2017,erl,9,4.7,4.3,52,48,3.8,1.8,3.3,0.5,"It is estimated that over 500,000 jobs have been destroyed per year between 2010 and 2015. Unemployment has soared to over 50 per cent (and over 75 per cent for young people). Informal work has become the primary source of employment, contributing to an increase of the poverty rate from under 15 per cent before the crisis to over 80 per cent today"
34,pmr_2017,education,5.6,3,2.6,54,46,5.3,0.3,,,"In the Euphrates Shield area, the ability of partners to provide education has become increasingly limited due to very strict regulations. For this reason, many school-age children are deprived of access to formal education with the accredited national curriculum and certification"
35,pmr_2017,fs,9,4.7,4.3,52,48,3.9,1.8,3.3,0.5,"During the reporting period, major movements were recorded from and/or into Aleppo, Hama, Ar-Raqqa, Damascus, Dar'a and Idleb governorates. As expanded upon below, these displacements have resulted in some changes to the sector severity ranking in the first six months of 2017"
36,pmr_2017,health,12.8,6.7,6.1,52,48,5.5,2.6,4.7,0.8,"The evolving situation in Ar-Raqqa, with progressive escalation of hostilities and shifting front lines has been closely monitored, with health partners across the hubs contributing to updated contingency, preparedness and response plan. The displacement in Ar-Raqqa Governorate has left thousands of IDPs (Al-Hasakeh and Ar-Raqqa governorates) in dire need of health humanitarian assistance"
37,pmr_2017,nutrition,4.3,2.8,1.5,66,34,1.5,1.4,1.5,,Due to local truces and agreements taking place during this reporting period between armed actors in some UN-declared besieged and hard-to-reach areas are becoming more accessible
38,pmr_2017,shelter,4.3,2.2,2.1,52,48,1.8,0.8,1.6,0.25,"The ongoing US-backed Syrian Democratic Forces (SDF) offensive against ISIL in Ar-Raqqa has resulted in massive displacements since late 2016 to surrounding areas, requiring urgent emergency response"
39,pmr_2017,nfi,5.9,3.1,2.8,52,48,2.5,1.2,2.1,0.3,"The ongoing US-backed Syrian Democratic Forces (SDF) offensive against ISIL in Ar-Raqqa has resulted in massive displacements since late 2016 to surrounding areas, requiring urgent emergency response"
40,pmr_2017,wash,14.9,7.7,7.2,52,48,6.4,3,5.5,0.9,"At the same time, the evolution of the Ar-Raqqa offensive prompted a considerable scale up of operations in the northeast Syria. This operation is carried out both by actors based out of Qamishli, and INGOs based in NES"
41,hno_2017,protection,13.5,7,6.5,52,48,5.8,2.7,5,0.8,"Persistent and extreme violence, including GBV, forced displacement and family separation, have resulted in a high-risk protection environment for all persons living in Syria, with women and children particularly vulnerable"
42,hno_2017,cccm,6.3,3.3,3,52,48,2.7,1.3,2.3,0.4,"Residents of collective centres face a convergence of complex needs, remain underserved, and lack mechanisms to communicate their needs and vulnerabilities"
43,hno_2017,erl,13.8,7.2,6.6,52,48,5.9,2.8,5.1,0.8,"Adolescents and youth have been significantly affected by the conflict and are becoming frustrated, disempowered and vulnerable as a result of limited education, economic and social opportunities"
44,hno_2017,education,6.1,3.3,2.8,54,46,5.8,0.3,,,1.75 million children and youth are out of school and 1.35 million at risk of dropping out
45,hno_2017,fs,9,4.7,4.3,52,48,3.9,1.8,3.3,0.5,An estimated 7 million people are food insecure and a further 2 million are at risk of food insecurity. Food insecurity is one of the top needs in Syria
46,hno_2017,health,12.8,6.7,6.1,52,48,5.5,2.6,4.7,0.8,"Trauma is a leading cause of mortality and morbidity in Syria, with 30 per cent of trauma cases resulting in a permanent disability requiring long-term rehabilitation care"
47,hno_2017,nutrition,4.4,2.9,1.5,66,34,1.5,1.4,1.5,,Those living in besieged and hard-to-reach areas and those living in areas deprived of basic social services are at high risk of under-nutrition and micronutrient deficiencies
48,hno_2017,shelter,4.3,2.2,2.1,52,48,1.8,0.8,1.6,0.25,"Over the past year, the number of people in need of NFIs has increased by 12 per cent to 5.8 million. The need for shelter has increased by 84 per cent, to 4.3 million"
49,hno_2017,nfi,5.8,3,2.8,52,48,2.5,1.2,2.1,0.3,"Over the past year, the number of people in need of NFIs has increased by 12 per cent to 5.8 million. The need for shelter has increased by 84 per cent, to 4.3 million"
50,hno_2017,wash,14.9,7.7,7.2,52,48,6.4,3,5.5,0.9,"WASH goods and services are widely available but very expensive, pushing families to rely on alternative sources"
51,hno_2016,protection,13.5,6.7,6.8,49.6,50.4,,,,,"Enduring conflict is eroding coping mechanisms, with increasingly negative social practices, including child labour"
52,hno_2016,cccm,6.5,3.2,3.3,49,51,,,,,"There are an estimated 6.5 million IDPs, many of whom have been displaced multiple times, of these, 1.7 million IDPs are in need of life-saving multi-sector responses in camps and collective centres"
53,hno_2016,erl,9.2,4.5,4.7,49,51,,,,,"Restoration of livelihoods and access to job opportunities in affected communities, in tandem with support and rehabilitation of basic and social infrastructure, is critical in order to sustain and restore dignified living conditions for the population, reduce their reliance on humanitarian aid and enable the return of IDPs to secure areas"
54,hno_2016,education,5.7,,,,,2.8,2.6,0.3,,"After five years into the crisis, 5.7 million children and adolescents (in and out of school) and education personnel are in need of education assistance. Schools and educational facilities continue to be attacked and suffer damage as a result of indiscriminate assaults, while students face severe risks by simply attending school"
55,hno_2016,fs,8.7,4.4,4.3,51,49,,,,,"On average, the cost of a standard food basket is three times greater in mid-2015 than in the pre-crisis period, as average incomes have remained stagnant"
56,hno_2016,health,11.5,7.3,4.2,63,37,,,,,"Over 1 million children under five have not been reached by routine immunisation services, out of an estimated 2.9 million"
57,hno_2016,nutrition,3.1,,,,,0.9,0.9,1.3,,3.16 million children under five years of age and pregnant and lactating women (PLW) in Syria are at risk of malnutrition and in need of preventive and curative nutrition services in 2016
58,hno_2016,shelter,2.4,1.18,1.2,49,51,,,,,The Syrian population is the largest provider of shelter. Increased support has to be directed towards host communities in order to safeguard coping mechanisms and improve the standard and availability of shelter stock
59,hno_2016,nfi,5.3,2.6,2.7,49,51,,,,,The Syrian population is the largest provider of shelter. Increased support has to be directed towards host communities in order to safeguard coping mechanisms and improve the standard and availability of shelter stock
60,hno_2016,wash,12.1,6,6.1,49,51,,,,,69 per cent of the population access water from medium to- high risk sources
